sentence,label
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Policjant zatrzymał podejrzanego.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Złodziej ukradł portfel.,PRZESTĘPSTWO
Napastnik pobił ochroniarza.,PRZESTĘPSTWO
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Rowerzysta spadł z roweru.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Samochód uderzył w drzewo.,WYPADEK
Autobus zderzył się z ciężarówką.,WYPADEK
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Pożar zniszczył budynek.,KATASTROFA
Lawina porwała turystów.,KATASTROFA
Powódź zalała miasto.,KATASTROFA
