id;kategoria;KTO;CO;TRIGGER;GDZIE;KIEDY
50;POLITYKA;Wiesław Janczyk;opodatkowania śmieciowego jedzenia;poinformował;Polska;
51;BIZNES;Piotr Woźniak (PGNiG);pokład gazu;odkryjemy;Polska;środa
52;POLITYKA;Komisja Europejska;wywiad Jacka Sasina;skomentowała;;
53;BIZNES;posłowie PiS;projekt nowelizacji (świadczenie postojowe);złożony;Polska;noc z poniedziałku na wtorek
54;BIZNES;polski przemysł motoryzacyjny;straty i zwolnienia;czekają;Polska;
55;BIZNES;Andrzej Adamczyk (rząd);program budowy autostrad;zakończyć;Polska;do 2025 r.
56;BIZNES;organ rentowy;elektronizacja zwolnień lekarskich;pozwoliła;Polska;
57;BIZNES;członkowie SBB;wyrok TSUE;poinformowali;Polska;czwartek
58;BIZNES;Rosja;strukturę eksportu;ma;;
59;BIZNES;Polacy w średnim wieku;wielkość długów;wzrosła;Polska;w ciągu 4 lat
60;BIZNES;chińscy eksporterzy;wojną celną;zaniepokojeni;Chiny;
61;BIZNES;JSW;oszczędności;przyniesie;Polska;pierwszy rok
62;BIZNES;rynek szparagów;wzrost;rośnie;;
63;WYPADEK;warszawski sąd;wyrok ws. salmonelli;wydał;Warszawa;
64;BIZNES;bank centralny Szwajcarii;stopy procentowe;utrzymał;Szwajcaria;
65;BIZNES;Daniel Obajtek;partnerzy (stacje);poszukiwani;Europa;
66;PROTEST;Stanisław Karczewski;protesty przedsiębiorców;komentując;;
67;BIZNES;nabrzeże terminalu DCT;uruchomione;zostanie;Gdańsk;poniedziałek
68;BIZNES;ropa;tanieje;tanieje;Nowy Jork;
69;BIZNES;rosyjskie koncerny;nadpodaż gazu;proszą o pozwolenie na spalanie;Rosja;od tygodni
70;BIZNES;przywódcy państw G20;5 bln dolarów na wsparcie;przeznaczą;świat;czwartek
71;BIZNES;MRPiPS;stopa bezrobocia;wyniosła;Polska;wrzesień
72;BIZNES;Polacy;inflacja;mierzą się;Polska;
73;BIZNES;część graczy;zniknąć;może;;
74;BIZNES;Elon Musk;Twitter;przejęcie;USA;
75;BIZNES;Warszawa;ranking miast;sklasyfikowanym;Warszawa;
76;BIZNES;British Airways;pracowników;zwalniać;;piątek
77;PRZESTEPSTWO;Boeing;2,5 mld dolarów;zapłaci;USA;
78;POLITYKA;państwa UE;pakiet „Fit for 55”;przyjęty;Niemcy;lipiec
79;BIZNES;GUS;przeciętne wynagrodzenie;wzrosło;Polska;
80;BIZNES;UOKiK;zgoda na przejęcie PKL;wydał;Polska;
81;PROTEST;mieszkańcy i władze gminy;protest;przyniósł skutek;;
82;BIZNES;Rolls-Royce;pracowników;zwolnić;;
83;BIZNES;złoty;sytuacja;wygląda;rynek międzynarodowy;
84;BIZNES;gazowiec Clean Ocean;ładunek LNG;stoi na redzie;Świnoujście;
85;BIZNES;prof. BCC;trend spadkowy PKB;ocenił;Polska;
86;BIZNES;Bank Gospodarstwa Krajowego;premia technologiczna;poinformował;Polska;od 8 października
87;POLITYKA;Rada Unii Europejskiej;rozporządzenie (magazyny gazu);przyjęła;UE;
88;BIZNES;Tadeusz Kościński;wyniki gospodarki;ocenia;Polska;
89;POLITYKA;nowe prawo wodne;decyzje o warunkach zabudowy;przestały obowiązywać;Polska;poniedziałek
90;BRAK_ZDARZENIA;eksperci Centrum im.;;;;
91;BIZNES;Rada Przedsiębiorczości;akceptację Tarczy Finansowej;apeluje;UE;
92;BIZNES;wojsko;karabiny;kupi;Polska;
93;POLITYKA;Ministerstwo Rozwoju;projekt ustawy;zakłada;Polska;
94;BRAK_ZDARZENIA;dyktatury;mordowanie oponentów;praktyka;;
95;BIZNES;dziecko;ulga na bilety;przysługuje;Polska;
96;BRAK_ZDARZENIA;;;;;
97;BIZNES;Bank Pekao SA;zysk;wyższy;Polska;pierwsza połowa roku
98;BIZNES;;umowa o budowie Baltic Pipe;podpisana;Polska;przełom grudnia i listopada
99;POLITYKA;Hu Chunhua;rozmowy handlowe;odwołał;Wielka Brytania;niedziela
100;BIZNES;LPP;salon;zamknięciu;Rosja;
101;BIZNES;RPP;stopy procentowe;pozostawiła;Polska;
102;BIZNES;Gaz-System;układanie gazociągu;zakończył;;czwartek
103;POLITYKA;fiskus;sekrety doradców;chce;Polska;
104;BIZNES;RPP;stopy procentowe;nie zmieniła;Polska;środa
105;BIZNES;Eurostat;stopa bezrobocia;poinformował;Polska;sierpień
106;BIZNES;ZUS;informacje z numerem konta;wysłał;Polska;październik
107;BIZNES;Mikołaj Wild;Centralny Port Komunikacyjny;ocenił;Polska;
108;BIZNES;Polska Agencja Kosmiczna;szkolenia urzędników;rozpoczną się;Polska;2019 r.
109;BRAK_ZDARZENIA;;pierogi;hit;;
110;KATASTROFA;Dunaj;stan wody;spadł;Dunaj;
111;BIZNES;Stałe Przedstawicielstwo RP;bezrobocie;poinformowało;Polska;marzec 2021
112;BIZNES;brytyjska monarchia;1,5 mld funtów;przynosi;Wielka Brytania;rocznie
113;BIZNES;ministerstwo Korei Płd.;rezerwy ropy;rozważymy;Korea Południowa;poniedziałek
114;BIZNES;Donald Trump;wydobycie ropy;zmniejszyć;;
115;BIZNES;Steven Mnuchin;cła;utrzymają;USA;
116;BIZNES;;bezrobocie;najniższe;Polska;lipiec
117;KATASTROFA;rosyjska inwazja;zatrudnienie;straciło;Ukraina;
118;BIZNES;;liczba działalności gospodarczych;wzrosła;Polska;siódmy miesiąc z rzędu
119;BIZNES;KOWR;produkcja malin;informuje;Polska;
120;BIZNES;fundacja Billa Gatesa;setki milionów dolarów;przeznaczyła;;
121;BIZNES;spółki Skarbu Państwa;170 mln zł;wynika z raportu;Polska;
122;BIZNES;Centrum Projektów Polska Cyfrowa;konkurs;zwyciężył;UE;
123;BIZNES;GUS;stopa bezrobocia;podał;Polska;listopad 2018 r.
124;BIZNES;Didier Guillaume;pracy na roli;apel;Francja;
125;BIZNES;naukowcy UW;zawodów;zniknie;Polska;w ciągu 25 lat
126;BIZNES;;sklepów internetowych;powstało;Polska;pierwsze półrocze
127;POLITYKA;Hanower;oszczędzanie energii;podeszło;Niemcy;
128;BRAK_ZDARZENIA;;strategię 3xP;stawiamy;;
129;BIZNES;PGNiG;złożu Duva;zakupu;Norwegia;poniedziałek
130;BIZNES;Tesco;sklepy;zamknie;Polska;
131;BIZNES;NBP;wartość banknotów;wzrosła;Polska;drugi kwartał
132;PRZESTEPSTWO;UODO;2,8 mln zł kary;nałożył;Polska;
133;KATASTROFA;organizacje rolnicze;zbiory zbóż;mniejsze;Mołdawia;sobota
134;BIZNES;LOT;połączenia;uruchomią;Bydgoszcz-Warszawa;27 października
135;BIZNES;Belgia;Ryanair;pozwać;Belgia;
136;BIZNES;Fundacja CASE;raporty;dobre;Polska;
137;BIZNES;UE;stawki za rozmowy;zaczną obowiązywać;UE;środa
138;BIZNES;;niedziele handlowe;będą;Polska;przed Bożym Narodzeniem
139;POLITYKA;TSUE;dyrektywa;orzekł;Luksemburg;wtorek
140;BIZNES;PKP Cargo;tarcza antykryzysowa;planuje skorzystać;Polska;czwartek
141;BIZNES;sklepy internetowe;podatek;uiszczą;;
142;PRZESTEPSTWO;KGHM;fałszywe strony;ostrzega;Polska;
143;BIZNES;IPAG;PKB;zwiększy się;Polska;2021 r.
144;BIZNES;amerykańskie indeksy;sesję;zakończyły na minusie;USA;piątek
145;BIZNES;analitycy Euler Hermes;liczba upadłości;prognozują;Polska;
146;BIZNES;gdańskie lotnisko;system multilateracyjny;zaczął działać;Polska;
147;PRZESTEPSTWO;PKN Orlen;zobowiązania Lotosu;zapłacić;Polska;
148;BIZNES;Fitch;rating;potwierdza;Polska;piątek
149;BIZNES;NBP;wzrost PKB;przewiduje;Polska;2017 r.
150;BIZNES;PGNiG;dostawy gazu;zawarł;Polska;od stycznia 2023 r.
151;POLITYKA;Mateusz Morawiecki;spotkanie;spotkał się;USA;drugi dzień wizyty
152;BIZNES;kredyty hipoteczne;popyt;rośnie;;od kilku miesięcy
153;BIZNES;Bayer;Monsanto;przejęcie;USA/Niemcy;środa
154;POLITYKA;holenderski rząd;kontakty dyplomatyczne;wznowił;Rosja;2017 r.
155;BIZNES;Komisja Europejska;decyzja ws. fuzji;wydłużyła czas;;wtorek
156;BIZNES;Fiat;nowy model;będzie produkowany;Tychy;
157;POLITYKA;politycy PO;uniezależnienie od gazu;przekonują;Polska;
158;BIZNES;Polacy;towary kupowane online;odsyłają;Polska;
159;BIZNES;Deloitte;raport o przychodach;opublikowała;;sezon 2018/19
160;BIZNES;GUS;przeciętne wynagrodzenie;wzrosło;Polska;III kwartał
161;POLITYKA;Ukraina;embargo;wprowadza;Ukraina;
162;POLITYKA;Krzysztof Tchórzewski;budowa energetyki jądrowej;oceniamy;Polska;
163;BIZNES;Komisja Europejska;program wsparcia;zatwierdziła;Polska;
164;BIZNES;PKN Orlen;umowa kredytu;podpisał;;
165;BIZNES;PGNiG Obrót Detaliczny;ceny gazu;są niższe;Polska;środa 1 lipca
166;BIZNES;trzy ministerstwa;pakiet pomocowy;przygotowują;Polska;
167;BIZNES;Euler Hermes;niewypłacalne firmy;raport;Polska;2020 r.
168;BIZNES;transakcja bitcoinem;;zawarto;;2010 r.
169;POLITYKA;Heiko Maas;stanowisko ws. Nord Stream 2;nie zmieni;Niemcy;
170;BIZNES;Orlen;kontrakt na ropę;nie przedłużymy;Polska;styczeń
171;BIZNES;prezes Orlenu;ceny paliwa;przekonywał;;
172;POLITYKA;Litwa;zakaz tranzytu;zaczął obowiązywać;Litwa;niedziela
173;BIZNES;budżet państwa;deficyt;miał;Polska;po listopadzie
174;POLITYKA;Najwyższa Izba Kontroli;raport ws. umów gazowych;ujawniła;Polska;
175;PROTEST;piloci i personel Ryanair;strajk;strajkują;Niemcy;
176;POLITYKA;Andrzej Duda;kupowanie polskich produktów;zaapelował;;
177;POLITYKA;Andrzej Adamczyk i Arpad Erseka;umowy o połączeniu dróg;podpisali;granica PL-SK;
178;POLITYKA;Unia Europejska;sankcje;doprecyzuje;Białoruś;
179;BIZNES;wykwalifikowany pracownik fizyczny;marzenie pracodawców;wynika z danych;Pomorze;
180;BRAK_ZDARZENIA;;47,4 proc.;;;
181;BIZNES;lombardy;zniknięcie;mogą zniknąć;Polska;
182;BIZNES;polska waluta;słabnięcie;słabnie;;
183;BIZNES;Lotos Kolej;wagony i lokomotywa;kupiła;;
184;BIZNES;Umicore;inwestycja w elektrownię;zainwestuje;Nysa;
185;BIZNES;Tesco Polska;przejęcie;grozi;Polska;
186;BIZNES;GDDKiA;przetarg na S7;ogłosiła;Miechów-Szczepanowice;
187;BIZNES;pub Ye Olde Fighting Cocks;działalność;zakończyć;St Albans;
188;BIZNES;ZUS;wyrównanie nadpłat;rusza;Polska;
189;BIZNES;Baltic Pipe;skrzyżowanie z Nord Stream 2;skrzyżował się;;
190;BIZNES;Amazon;logo aplikacji;zmieniła;;
191;BIZNES;Maria Fajger (ARiMR);środki dla rolników;poinformowała;Polska;
192;BIZNES;Niemcy i Włosi;wprowadzenie euro;zyskali/stracili;Europa;
193;POLITYKA;Mateusz Morawiecki;sektor motoryzacji;ocenił;Polska Wieś;
194;BIZNES;Jan Sarnowski;odliczenie od dochodu;informuje;Polska;najbliższe trzy miesiące
195;POLITYKA;Aleksander Stępkowski;integracja z Rosją;ocenił;Berlin;wtorek
196;POLITYKA;Władimir Putin;wojna energetyczna;zaatakuje/wypowie;Ukraina;jesień ubiegłego roku
197;BIZNES;spółka CPK;liczba pasażerów;poinformowała;Polska;
198;BIZNES;polski eksport;towary rolno-spożywcze;osiągnął poziom;Polska;I kwartał
199;BIZNES;Cezary Przybylski;Forum Ekonomiczne;poinformował;Karpacz;
200;BIZNES;obroty handlowe;88,5 mld euro;wyniosły;Polska-Niemcy;2015 r.
201;BIZNES;produkcja przemysłowa;wzrost;wzrosła;;wrzesień
202;BIZNES;PLL LOT;nowe samoloty;wzbogaci się;Polska;przyszły rok
203;KATASTROFA;susza rolnicza;;obserwujemy;Polska;co roku od 1981 r.
204;BIZNES;Bank Pekao i Microsoft;umowa o partnerstwie;zawarły;Krynica;
205;BIZNES;Amazon;dostawy produktów;może dostarczać;Francja;przez miesiąc
206;PRZESTEPSTWO (zatrzymać);KAS;handel częściami;przeprowadzi kontrole;Polska;
207;POLITYKA;Andrzej Duda;wypowiedź;wypowiedział się;Davos;
208;BIZNES;Morgan Stanley;wzrost PKB;wyniesie;Polska;ten rok
209;KATASTROFA;pogoda;wegetacja;nie pomagają;;
210;POLITYKA;Beata Szydło;deklaracje z Chinami;powiedziała;Chiny;
211;POLITYKA;Jan Sarnowski;podatki korporacji;uważa;;
212;BIZNES;S&P Global Ratings;prognozy PKB;utrzymała;Polska;16 lipca
213;BIZNES;Nyerthus Kft;produkty polskich firm;zadeklarowała;Węgry;
214;BIZNES;rząd Bangladeszu;produkcja odzieżowa;zezwolił na wznowienie;Bangladesz;
215;POLITYKA;Ministerstwo Finansów;zmiany w ustawie STIR;szykuje;Polska;
216;BIZNES;ceny na stacjach;korekta;stabilne;;
217;BIZNES;złoty;wartość;umacnia się;;czwartek 28 lipca
218;POLITYKA;Andrzej Adamczyk;regulamin płacowy PAŻP;poinformował;Polska;
219;BRAK_ZDARZENIA;Niemiecka Federalna Agencja ds.;;;Niemcy;
220;BIZNES;Chiny;fundusz inwestycyjny;rozpocznie działalność;Europa Środkowa;
221;POLITYKA;Anna Moskwa;uniezależnienie od gazu;powiedziała;Europa;
222;POLITYKA;prezes ZUS;wnioski o wsparcie;apelujemy;Polska;
223;POLITYKA;Donald Trump;układ NAFTA;oświadczył;USA;poniedziałek
224;BIZNES;NBP;wartość banknotów;wzrosła;Polska;koniec trzeciego kwartału
225;POLITYKA;Jan Krzysztof Ardanowski;ustawa o obrocie ziemią;zapowiedział;Polska;
226;BIZNES;niemieckie firmy;potencjał gospodarki;chcą wykorzystać;Polska;
227;BIZNES;Lords LB Asset Management;operator parkingów;przeszedł w ręce;Polska;
228;BIZNES;CEO World Magazine;atrakcyjność inwestycyjna;uznana;Polska;
229;BIZNES;moc paneli fotowoltaicznych;granica 1 tys. MW;przebije;Polska;
230;BIZNES;PGNiG Obrót Detaliczny;ceny gazu;obniża;Polska;od piątku
231;BIZNES;urzędy skarbowe;numer konta;koniec z szukaniem;Polska;
232;BIZNES;opłaty za gaz;;wzrastają;Polska;od soboty
233;POLITYKA;Szymon Hołownia;pieniądz cyfrowy;stwierdził;Polska;
234;BIZNES;Polacy;emigracja;spada;Norwegia;
235;POLITYKA;Andrzej Adamczyk;inwestycja autostrada D11;powiedział;Czechy;
236;POLITYKA;Departament Stanu USA;sankcje Nord Stream 2;ostrzegł;;
237;POLITYKA;Kancelaria Premiera;dokonania rządu;poinformowała;Polska;sobota
238;BIZNES;Marek Gróbarczyk;przekop Mierzei;zapewnił;Mierzeja Wiślana;sobota
239;BRAK_ZDARZENIA;efektywność transportu;rozwój gospodarek;decyduje;;
240;BIZNES;Amerykanie;zadłużenie na kartach;rośnie;USA;
241;PRZESTEPSTWO;rządy Hollande'a i Macrona;dostawy broni do Rosji;były sprzeczne;Francja;
242;POLITYKA;Mikołaj Wild;dokapitalizowanie CPK;ocenił;Polska;
243;BIZNES;Meta;centrum danych;zrezygnował;Zeewolde;
244;BIZNES;rada nadzorcza JSW;wiceprezesi;odwołała;Polska;czwartek
245;BRAK_ZDARZENIA;gospodarka;rok 2018;był udany;Polska;2018 r.
246;POLITYKA;Piotr Naimski;węgiel;powiedział;Polska;
247;KATASTROFA;opady śniegu i mróz;komunikacja kolejowa;sparaliżowały;Włochy;
248;POLITYKA;Mike Pompeo;chińskie aplikacje;oświadczył;USA;
249;BIZNES;Kleszczów;wpływy podatkowe;pozostaje najbogatszą;Kleszczów;
250;POLITYKA;Niemcy;pomoc Ukrainie;są hamulcowym;Niemcy;
251;BIZNES;Belgijski urząd ds. konkurencji;połączenie portów;zatwierdził;Belgia;
252;POLITYKA;USA;sankcje wobec Nord Stream 2;wprowadzą;Nord Stream 2;
253;BIZNES;mieszkańcy Brandenburgii;zakup paliwa;opłaca się jeździć;Polska;
254;BIZNES;firmy;składki ZUS;mogą nie płacić;Polska;od początku roku
255;PROTEST;podwykonawcy Astaldi;rozmowy z PKP PLK;zakończyły się porozumieniem;;
256;POLITYKA;Loro Piana;Władimir Putin;dystansuje się;Moskwa/Włochy;
257;POLITYKA;Premier;fabrykę Hydro-Vacum;odwiedził;Grudziądz;
258;BIZNES;Lotnisko Chopina;pasażerów;obsłużyło;Warszawa;maj br.
259;BIZNES;ceny energii;unijne podatki;stanowią koszty;UE;
260;BIZNES;wykonawca;gazociąg Baltic Pipe;wybór nastąpi;;przełom roku
261;POLITYKA;Paweł Gruza;walkę z oszustwami podatkowymi;zapowiadając;Polska;
262;BIZNES;ZUS;zatrudnienie obcokrajowców;ubyło zmian;Polska;wtorek
263;POLITYKA;program Nowego Ładu;kwotę wolną od podatku;może zawierać;Polska;
264;BIZNES;GUS;produkcja sprzedana przemysłu;była niższa;Polska;lipiec
265;BIZNES;recesja;najbogatszych;nie dotknęła;Rosja;
266;BIZNES;GUS;ceny lokali mieszkalnych;wzrost;Polska;pierwszy kwartał
267;BIZNES;przedsiębiorcy;załogi;wiążą ze sobą;;
268;BIZNES;Auchan, Carrefour, Orlen;współpracę na stacjach;testuje/zwiększa/rozwija;Polska;
269;POLITYKA;kraje członkowskie;nowelizację dyrektywy gazowej;zatwierdziły;UE;poniedziałek
270;BIZNES;Koleje Południowo-Wschodnie;impulsy z Newagu;odebrał;Włochy;
271;BIZNES;sklepy;handel;będą zamknięte;Polska;21 marca
272;BIZNES;Wall Street;główne indeksy;zakończyła się spadkami;USA;piątek
273;POLITYKA;Szwecja;budowę Nord Stream;wydała zgodę;Szwecja;
274;POLITYKA;Merkel, Tusk, Timmermans;obóz dla uchodźców;odwiedzili;Turcja;sobota
275;BIZNES;urząd statystyczny;PKB Kanady;spadł;Kanada;kwiecień
276;BIZNES;Polski Instytut Ekonomiczny;czas pracy;skraca się;Polska;
277;BIZNES;PKN Orlen;dostawy płynu do dezynfekcji;wstrzymaniu;Polska;
278;BIZNES;ZUS;utrzymaniem systemu informatycznego;zajmie się;Polska;
279;BIZNES;Shell;projekt Sachalin 2;nie będzie uczestniczyć;Rosja;
280;BIZNES;akcjonariusze PKN Orlen;połączenie z Grupą Lotos;poparli;Polska;
281;BIZNES;hotele;straty;opiewają na miliardy;Polska;
282;BIZNES;CD Projekt;podium giełdy;wskoczyła;Polska;
283;BIZNES;Pesa Bydgoszcz;wagony pasażerskie;zmodernizuje;Polska;wtorek
284;POLITYKA;Sejm;ustawę o OFE i IKE;uchwalił;Polska;czwartek
285;BIZNES;Politechnika Łódzka;sieć badawczą 5G;uruchomiono;Łódź;
286;BIZNES;Służba Więzienna;liczbę pracujących więźniów;zwiększenie;Polska;czwartek
287;BIZNES;ZUS Opole;emerytury łączone;wypłaca;Polska/Niemcy;
288;BIZNES;Dziennik Gazeta Prawna;skargi na komorników;spadła ilość;Polska;pierwsze sześć miesięcy
289;BIZNES;Sąd;kredyt frankowy;zmienił na złotowy;Polska;
290;BIZNES;;gospodarka;nie stanęła;Polska;
291;BIZNES;Ministerstwo Finansów;budżet;rozpoczyna prace;Polska;
292;POLITYKA;TSUE;wydobycie w Turowie;nakazał wstrzymanie;Turów;
293;BIZNES;Sąd w Ostrawie;upadłość OKD;ogłosił;Czechy;
294;BIZNES;przedsiębiorcy;Mały ZUS Plus;mogą zgłosić;Polska;do 1 lutego
295;BIZNES;prezydent;osiągnięcia polskich firm;powiedział;Polska;czwartek
296;POLITYKA;duże koncerny;strajki klimatyczne;stoją za;;
297;BIZNES;Standard & Poor's;rating Polski;pozostawiła;Polska;
298;BIZNES;rodzinna firma;samochód elektryczny;zaprojektowała;Częstochowa;
299;POLITYKA;Tadeusz Kościński;unijny fundusz odbudowy;powiedział;Polska;
300;BIZNES;PKP Intercity;pasażerów;skorzystało;Polska;2022 r.
301;POLITYKA;projekt rozporządzenia;zakaz lotów;znajdą się;świat;28 października - 10 listopada
302;POLITYKA;farmaceuci;prawo otwierania aptek;mają;Polska;niedziela
303;BIZNES;Standard&Poors;rating Węgier;obniżyła;Węgry;po 10 latach
304;BRAK_ZDARZENIA;Marek Zuber;program Minęła 20;byli gośćmi;TVP Info;
305;BIZNES;Komisja Europejska;terminal LNG;dofinansowaniu;Świnoujście;piątek
306;PRZESTEPSTWO;Korea Południowa;emisji spalin Volkswagena;prowadzi śledztwo;Korea Południowa;
307;BIZNES;resort funduszy;dofinansowanie dla firm;podał;Polska;
308;BIZNES;władze Florydy;łowców pytonów;chcą zatrudnić;Floryda;
309;KATASTROFA;pszczoły;działanie insektycydów;narażone;;
310;POLITYKA;Magdalena Rzeczkowska;korekty w PIT i CIT;pracujemy;Polska;
311;BIZNES;ropa;ceny;tanieje;USA;
312;BIZNES;konsumenci;zakupy na Alibaba;wydali 30 mld dolarów;Chiny;11 listopada
313;BIZNES;PKN Orlen i Alstom;pociągi wodorowe;podpisał porozumienie;;
314;PRZESTEPSTWO;Anne Longfield;TikTok;pozwała;Wielka Brytania/UE;
315;BIZNES;Paweł Majewski;ceny gazu;nie spowoduje zmiany;Polska;
316;BIZNES;Polacy;prezenty online;planują zakup;Polska;sezon bożonarodzeniowy
317;BIZNES;Elżbieta Rafalska;bezrobocie;spadło;Polska;maj
318;KATASTROFA;gminy w Polsce;zbożem jarym;zagrożonych suszą;Polska;
319;BIZNES;Fitch;wiarygodność Wielkiej Brytanii;obniżyła;Wielka Brytania;poniedziałek
320;BIZNES;Elżbieta Rafalska;zatrudnienie cudzoziemców;poinformowała;Polska;koniec 2017 r.
321;BIZNES;rynek apteczny;sprzedaż;zanotował wzrost;Polska;2020 r.
322;KATASTROFA;rolnicy;plaga szarańczy;doskwiera;Hiszpania;od kilku dni
323;BIZNES;Polska;ranking atrakcyjności inwestycyjnej;zajmuje trzecie miejsce;Europa Środkowo-Wschodnia;
324;BIZNES;FAO;indeks cen żywności;zyskał;świat;sierpień
325;PRZESTEPSTWO;Mars;batony;zostanie wycofana;świat;
326;BIZNES;Terminal Naftowy Gdańsk;zbiornik ropy naftowej;trafił do eksploatacji;Gdańsk;
327;BIZNES;Lotnisko Chopina;pasażerów;obsłużyło;Warszawa;lipiec
328;BIZNES;Gdańsk;farma fotowoltaiczna;powstała;Gdańsk;
329;POLITYKA;Artur Soboń;składkę zdrowotną;zostały przegłosowane;Polska;
330;PROTEST;personel naziemny KLM;akcję strajkową;wyznaczył;Holandia;środa
331;BIZNES;ceny ubezpieczeń OC;ceny;unormowały się;Polska;
332;BIZNES;Krajowy Rejestr Długów;zadłużenie firm;wzrosło;Polska;od lutego do września
333;BIZNES;Piotr Bujak;dostawy do Niemiec;poinformował;Niemcy;wtorek
334;BIZNES;Włochy;monety 1 i 2 centowe;zaprzestają bicia;Włochy;
335;BIZNES;Agencja Mienia Wojskowego;pomoc przedsiębiorcom;włączyła się;Polska;
336;BIZNES;mleczarski eksport;rekordy;bije;Polska;
337;POLITYKA;KBA;testy samochodów diesel;przeprowadziła;Niemcy;
338;POLITYKA;rząd;Tarcza Finansowa 2.0;ma zająć się;Polska;wtorek
339;POLITYKA;Sueddeutsche Zeitung;zależność od Rosji;pisze;Niemcy;
340;POLITYKA;rząd w Berlinie;opłaty dla ciężarówek;postanowił;Niemcy;od 1 lipca 2018 r.
341;BIZNES;Centrum Monitorowania Rynku;sprzedaż sklepów;wzrosła;Polska;styczeń
342;BIZNES;UOKiK;wysokość kary;poinformował;Polska;
343;BIZNES;Grupa Azoty;pieniądze na projekt;szuka;Police;piątek
344;BIZNES;Zygmunt Solorz i Adam Góral;kapitałowy sojusz;wchodzą w;Polska;
345;POLITYKA;Henryk Kowalczyk;podatku od sklepów;powiedział o zmianach;Polska;
346;BIZNES;klienci;towar;kupują wszystko;;
