id,headline
51,"„Szanse na to, że nagle odkryjemy w Polsce duży, nieznany pokład gazu, są niewielkie, ale istnieje wyjątek, chodzi o teren na południe od złoża Przemyśl” – powiedział prezes Polskiego Górnictwa Naftowego i Gazownictwa Piotr Woźniak w rozmowie ze środowym „Naszym Dziennikiem”."
52,Komisja Europejska skomentowała wywiad wicepremiera Jacka Sasina.
53,"Dodatkowe świadczenie postojowe dla branż gastronomicznej, fitness, targowej, estradowej, filmowej, rozrywkowej i rekreacyjnej, fotograficznej i fizjoterapeutycznej zakłada złożony w nocy z poniedziałku na wtorek projekt nowelizacji ustawy o COVID-19 autorstwa posłów Prawa i Sprawiedliwości."
54,"Z powodu pandemii koronawirusa i zatrzymania produkcji w Europie polski przemysł motoryzacyjny czekają straty, prawdopodobne są zwolnienia, także grupowe – ocenia „Puls Biznesu”."
55,Rząd chce zakończyć program budowy autostrad na długości dwóch i pół tysiąca kilometrów do 2025 r. – powiedział w Programie 1 Polskiego Radia Andrzej Adamczyk.
56,"Organ rentowy przyznaje, że elektronizacja zwolnień lekarskich pozwoliła na ich lepszą kontrolę – czytamy w „Rzeczpospolitej”."
57,Wyrok TSUE jest zgodny z oczekiwaniami kredytobiorców zgromadzonych w stowarzyszeniu Stop Bankowemu Bezprawiu – poinformowali w czwartek członkowie SBB.
58,"Rosja ma mało zdywersyfikowaną strukturę eksportu, która obejmuje ropę i gaz, koks i produkty rafinacji ropy naftowej, metale, chemikalia i produkty chemiczne oraz węgiel."
59,Trzykrotnie wzrosła w ciągu 4 lat wielkość długów Polaków w średnim wieku.
60,"Chińscy eksporterzy wystawiający na największych targach świata są zaniepokojeni wojną celną między ChRL a USA oraz rosnącymi cenami w Chinach – podała Agencja Reutera, cytując wyniki ankiety przeprowadzonej na Targach Kantońskich."
61,Przekazanie kopalni Krupiński oraz tzw. ruchu Jas-Mos do Spółki Restrukturyzacji Kopalń (SRK) w pierwszym roku przyniesie Jastrzębskiej Spółce Węglowej (JSW) ok. 436 mln zł oszczędności.
62,Rynek szparagów rośnie z każdym rokiem – informuje „Puls Biznesu”.
63,Warszawski sąd wydał pierwszy wyrok dotyczący zbiorowego zatrucia salmonellą w kawiarni „Green Caffe Nero”.
64,Bank centralny Szwajcarii (SNB) utrzymał stopy procentowe bez zmian.
65,"Daniel Obajtek, prezes PKN Orlen powiedział w Polskim Radiu 24, że podczas zbywania stacji Lotosu, poszukiwani będą partnerzy, którzy zaoferują w zamian stacje w innych, atrakcyjnych regionach Europy."
66,"Ja rozumiem, że cierpliwość się kończy – powiedział w RMF FM senator PiS Stanisław Karczewski, komentując zapowiadane protesty przedsiębiorców."
67,Drugie nabrzeże terminalu kontenerowego DCT zostanie uruchomione w poniedziałek.
68,"Ropa na amerykańskiej giełdzie paliw w Nowym Jorku nieznacznie tanieje, po tygodniu mocnych wzrostów."
69,"Od tygodni docierały pogłoski o tym, że rosyjskie koncerny nie mają wręcz co zrobić z nadpodażą wydobywanego gazu i proszą władze o pozwolenie na spalanie surowca."
70,"Przywódcy państw G20 na czwartkowej wideokonferencji postanowili, że przeznaczą co najmniej 5 bln dolarów na wsparcie światowej gospodarki w walce ze skutkami pandemii koronawirusa."
71,"Stopa bezrobocia rejestrowanego we wrześniu wyniosła 6,9 proc. i w porównaniu do sierpnia spadła o 0,1 punktu procentowego – poinformowało w czwartek Ministerstwo Rodziny Pracy i Polityki Społecznej."
72,"Polacy mierzą się z wysoką inflacją, która dla wielu z nas jest problemem."
73,Część graczy może zniknąć na zawsze.
74,Uznawany za najbogatszego człowieka na świecie miliarder Elon Musk zawarł umowę w sprawie przejęcia serwisu społecznościowego Twitter za 44 mld dolarów – podała firma.
75,Warszawa jest jedynym polskim miastem sklasyfikowanym w tegorocznym rankingu „Global Destination Cities Index”.
76,"W odpowiedzi na pandemię koronawirusa British Airways będą musiały uziemiać samoloty na skalę większą niż kiedykolwiek wcześniej i zwalniać pracowników, ostrzegł w piątek prezes firmy, dodając, że stawką jest przetrwanie linii."
77,"Spółka Boeing zapłaci 2,5 mld dolarów w związku z zakończeniem śledztwa Departamentu Sprawiedliwości w sprawie dwóch wypadków maszyn typu 737 MAX, w których zginęło 346 osób – poinformował Departament Sprawiedliwości USA."
78,"Przyjęty w lipcu pakiet legislacyjny „Fit for 55”, który ma przystosować państwa członkowskie Unii Europejskiej do zaostrzonych celów klimatycznych, wywołał w Niemczech różne opinie."
79,"Przeciętne wynagrodzenie w sektorze przedsiębiorstw wzrosło rok do roku o 7,4 proc. i wynosi 5 tys. 182 zł (brutto); zatrudnienie o 2,7 proc. – poinformował Główny Urząd Statystycznu."
80,"Urząd Ochrony Konkurencji i Konsumentów wydał zgodę na transakcję przejęcia Polskich Kolei Linowych (PKL), w tym kolejki linowej na Kasprowy Wierch w Tatrach przez Polski Fundusz Rozwoju – poinformował PAP Maciej Chmielowski z biura prasowego UOKiK."
81,Nieustający protest mieszkańców i władz gminy przyniósł skutek.
82,"Brytyjski koncern Rolls-Royce produkujący m.in. silniki lotnicze ogłosił, że zamierza zwolnić co najmniej 9 tys. z 52 tys. pracowników i być może zamknie niektóre fabryki ze względu na kryzys w branży wywołany pandemią koronawirusa."
83,Jak wygląda sytuacja złotego na międzynarodowym rynku walutowym?
84,Gazowiec Clean Ocean z pierwszym ładunkiem amerykańskiego gazu LNG do Polski stoi na redzie portu w Świnoujściu – poinformował Urząd Morski w Szczecinie.
85,"Dane GUS za IV kwartał potwierdzają, że trend spadkowy dynamiki PKB już się rozpoczął – ocenił główny ekonomista BCC prof."
86,"Małe, mikro- i średnie firmy wprowadzające na rynek innowacyjne usługi i produkty od 8 października będą mogły aplikować o tzw. premię technologiczną z Bank Gospodarstwa Krajowego – poinformował bank."
87,"Rada Unii Europejskiej przyjęła rozporządzenie, które ma zapewnić – pomimo zakłóceń na rynku – zapełnienie magazynów gazu w UE przed sezonem zimowym i w razie konieczności umożliwić współdzielenie tych zasobów w duchu solidarności. – UE dysponuje od tej pory narzędziem, które nakazuje każdemu państwu członkowskiemu zgromadzenie wystarczających zasobów gazu przed sezonem zimowym i ułatwia dzielenie się nimi między państwami – oświadczyła minister transformacji energetycznej Francji Agnes Pannier-Runacher."
88,"Wyniki gospodarki w IV kw. i w całym ubiegłym roku okazały się wyraźnie lepsze od prognoz sprzed ledwie 2-3 miesięcy – ocenia minister finansów, funduszy i polityki regionalnej Tadeusz Kościński w komentarzu do piątkowych danych GUS."
89,„Wskutek nowego prawa wodnego decyzje o warunkach zabudowy umożliwiające inwestycje blisko rzek przestały obowiązywać” - informuje poniedziałkowa „Rzeczpospolita”.
90,Eksperci Centrum im.
91,Rada Przedsiębiorczości apeluje do Komisji Europejskiej o pilną akceptację polskiej Tarczy Finansowej dla dużych firm.
92,Wojsko kupi polskie karabiny dla Wojsk Obrony Terytorialnej – czytamy w „Naszym Dzienniku”.
93,"Przygotowany w Ministerstwie Rozwoju projekt ustawy o „powszechnym samorządzie gospodarczym” zakłada, że wszystkie firmy, bez względu na wielkość, będą należeć do tego samorządu z automatu, jednak nie będą płacić obligatoryjnych składek członkowskich."
94,Mordowanie oponentów politycznych to praktyka rodem z najgorszych dyktatur.
95,Dziecku chodzącemu do zerówki przysługuje ulga na bilety kolejowe.
96,"Ekonomicznie, ekologicznie i bezpiecznie."
97,W pierwszej połowie tego roku zysk Banku Pekao SA był o blisko 60 proc. wyższy niż w pandemicznym pierwszym półroczu 2020 r. i przekroczył poziom z okresu przed wirusem – podał Pekao.
98,Na przełomie grudnia i listopada ma zostać podpisana umowa o budowie gazociągu Baltic Pipe.
99,Wicepremier Chin Hu Chunhua odwołał niedzielne rozmowy handlowe z brytyjskim ministrem finansów Philipem Hammondem – podał tabloid „The Sun”.
100,"Polska firma odzieżowa LPP – właściciel marek Reserved, Cropp, House, Mohito i Sinsay – poinformowała o zamknięciu ostatniego salonu w Rosji."
101,RPP pozostawiła stopy procentowe NBP na niezmienionym poziomie.
102,Gaz-System zakończył układanie podmorskiej części gazociągu Baltic Pipe – poinformowała w czwartek spółka.
103,"Fiskus chce, by doradcy podatkowi i prawnicy zdradzali mu swoje sekrety – informuje „Rzeczpospolita”."
104,Rada Polityki Pieniężnej nie zmieniła w środę stóp procentowych – poinformowała RPP.
105,"Stopa bezrobocia w sierpniu w Polsce wyniosła 4,7 proc. – poinformował Eurostat, czyli  Europejski Urząd Statystyczny."
106,"W październiku ZUS wysłał do płatników informacje z indywidualnym numerem konta, bez którego od stycznia nie będą mogli zapłacić składek."
107,"– To będzie nowe miasto; jeżeli przyjrzymy się skali przedsięwzięcia, to będzie ona większa niż budowa portu w Gdyni – ocenił planowany Centralny Port Komunikacyjny pełnomocnik rządu ds. tej inwestycji Mikołaj Wild w rozmowie z „Naszym Dziennikiem”."
108,W 2019 r. rozpoczną się szkolenia urzędników z wykorzystania danych satelitarnych – poinformowała Polska Agencja Kosmiczna.
109,"Stały punkt kulinarnych poszukiwań zagranicznych turystów, ale i regularny gość na polskich stołach – pierogi, czyli niezaprzeczalny hit rodzimej kuchni."
110,Stan wody w Dunaju spadł z powodu upałów i suszy do rekordowo niskiego poziomu na trzech odcinkach.
111,"W marcu 2021 roku bezrobocie w Polsce utrzymywało się na najniższym poziomie w Unii Europejskiej – poinformowało Stałe Przedstawicielstwo RP przy UE, powołując się na najnowsze dane Eurostatu."
112,"Ok. 1,5 mld funtów rocznie przynosi swojemu krajowi brytyjska monarchia."
113,"Rozważymy uruchomienie strategicznych rezerw ropy naftowej, jeśli sytuacja w Arabii Saudyjskiej się pogorszy – poinformowało w poniedziałek ministerstwo przemysłu, handlu i energii Korei Płd. w związku z sobotnimi atakami na saudyjskie instalacje naftowe."
114,"OPEC+ zamierza zmniejszyć wydobycie ropy naftowej o 20 mln baryłek dziennie, a nie o 10 mln, jak podano – oświadczył prezydent USA Donald Trump."
115,Stany Zjednoczone utrzymają cła na chiński eksport do czasu zakończenia drugiej fazy negocjacji handlowych między obydwoma krajami – oświadczył szef Departamentu Skarbu USA Steven Mnuchin.
116,Bezrobocie w Polsce w lipcu było najniższe od 1991 roku.
117,Z powodu pełnoskalowej inwazji rosyjskiej na Ukrainę co najmniej pięć milionów osób straciło zatrudnienie.
118,Liczba jednoosobowych działalności gospodarczych wzrosła już siódmy miesiąc z rzędu.
119,"Polska jest piątym producentem malin na świecie i liderem w Unii Europejskiej, większość zbiorów jest eksportowana, głównie do Niemiec – informuje Krajowy Ośrodek Wsparcia Rolnictwa (KOWR)."
120,"Portal Breitbart News poinformował, że fundacja Billa Gatesa przeznaczyła setki milionów dolarów na wsparcie organizacji, które starają się zatrzymać przejęcie Twittera przez Elona Muska."
121,Ponad 170 mln zł na walkę z epidemią od spółek Skarbu Państwa - wynika z raportu „MAP dla Polaków” opublikowanego przez Ministerstwo Aktywów Państwowych.
122,"Projekt Centrum Projektów Polska Cyfrowa zwyciężył w kategorii „Spójność terytorialna na obszarach wiejskich i oddalonych” w konkursie European Broadband Awards (EBA), organizowanym przez Komisję Europejską."
123,"Stopa bezrobocia w listopadzie 2018 r. wyniosła 5,7 proc. wobec 5,7 proc. w październiku – podał Główny Urząd Statystyczny."
124,"Minister rolnictwa Didier Guillaume wystosował apel do rodaków, którzy nie mają zajęcia z powodu epidemię koronawirusa, do podjęcia pracy na roli."
125,W ciągu 25 lat zniknie prawie połowa wykonywanych dziś zawodów - wynika z badań naukowców Uniwersytetu Warszawskiego.
126,"W pierwszym półroczu w Polsce powstało 2,8 tys. nowych sklepów internetowych, co jest najwyższym wynikiem od lat – informuje „Rzeczpospolita”."
127,"Hanower to pierwsze duże miasto w Niemczech, które poważnie podeszło do apeli ministra gospodarki Roberta Habecka o oszczędzanie energii."
128,"– Stawiamy na strategię 3xP, czyli Prostotę, Przejrzystość i Przyjazność sytemu."
129,Spełniony został jeden z warunków zawieszających umowy zakupu przez PGNiG Upstream Norway od Wellesley Petroleum udziałów w złożu Duva na Norweskim Szelfie Kontynentalnym – poinformowało w poniedziałek PGNiG.
130,Brytyjska sieć Tesco zamknie kolejne sklepy w naszym kraju.
131,"Wartość banknotów w obiegu wzrosła do 222,9 mld zł w drugim kwartale tego roku z 98,6 mld zł w drugim kwartale 2009 r. – wynika z danych Narodowego Banku Polskiego (NBP) dotyczących struktury obiegu banknotów i monet."
132,"Prezes Urzędu Ochrony Danych Osobowych nałożył 2,8 mln zł kary na spółkę Morele.net za niewystarczające zabezpieczenia danych osobowych."
133,W efekcie największej od 25 lat suszy w Mołdawii tegoroczne zbiory zbóż będą w tym kraju znacząco mniejsze niż normalnie - poinformowały w sobotę krajowe organizacje rolnicze.
134,Połączenia z Bydgoszczy do Warszawy uruchomią 27 października Polskie Linie Lotnicze LOT – poinformował w czwartek w komunikacie    bydgoski Port Lotniczy.
135,Belgia zdecydowała się pozwać linie lotnicze Ryanair do sądu gospodarczego.
136,"Najnowsze analizy Fundacji CASE, która co roku przygotowuje raporty dla Komisji Europejskiej, są dobre dla Polski."
137,Od środya zaczną obowiązywać nowe maksymalne stawki za międzynarodowe rozmowy i wiadomości SMS w obrębie Unii Europejskiej.
138,Przed Bożym Narodzeniem będą jeszcze dwie niedziele handlowe.
139,Dyrektywa dotycząca delegowania pracowników ma zastosowanie do świadczenia usług w sektorze transportu drogowego – orzekł we wtorek Trybunał Sprawiedliwości UE (TSUE) w Luksemburgu.
140,"PKP Planuje skorzystać z tarczy antykryzysowej, gdyż z powodu epidemii koronawirusa przewozy spółki w pierwszym kwartale tego roku spadły o 20 proc. – poinformował na czwartkowej konferencji prezes PKP Cargo Czesław Warsewicz."
141,"Sklepy internetowe uiszczą podatek od sprzedaży detalicznej, nawet jeśli przeniosą się za granicę."
142,"KGHM Polska Miedź ostrzega przed fałszywymi stronami internetowymi, które wykorzystują wizerunek firmy i namawiają do podejrzanych inwestycji – poinformowała spółka w komunikacie."
143,"W całym 2021 r. produkt krajowy brutto Polski zwiększy się o 3,8 proc., a w 2022 r. wzrost przyspieszy do 4,5 proc. – przewiduje Instytut Prognoz i Analiz Gospodarczych (IPAG)."
144,Zarówno piątkową sesję jak i cały tydzień główne amerykańskie indeksy zakończyły na minusie.
145,"Liczba upadłości przedsiębiorstw w Polsce może nadal spadać, ale w wolniejszym tempie niż w 2015 roku – prognozują analitycy Euler Hermes."
146,Na gdańskim lotnisku zaczął działać pierwszy w Polsce system multilateracyjny wykrywający samoloty.
147,"PKN Orlen musi zapłacić za zobowiązania Lotosu, powiązane z działaniem mafii vatowskiej."
148,Fitch potwierdza dotychczasowy rating Polski na poziomie „A -” – poinformowało w piątkowym komunikacie Ministerstwo Finansów.
149,"Wzrost PKB w 2017 r. na poziomie 4,0 proc. oraz wzrost cen na poziomie 1,9 proc. przewiduje najnowsza projekcja NBP."
150,PGNiG zawarł umowy z Grupą Equinor na dostawy gazu od stycznia 2023 r. do stycznia 2033 r.
151,W drugim dniu wizyty w Stanach Zjednoczonych wicepremier minister rozwoju i finansów Mateusz Morawiecki spotkał się z ministrami do spraw energii oraz handlu w rządzie Donalda Trumpa.
152,Popyt na kredyty hipoteczne rośnie od kilku miesięcy.
153,"Niemiecki koncern chemiczny i farmaceutyczny Bayer poinformował w środę, że jego oferta przejęcia międzynarodowego koncernu biotechnologicznego Monsanto została przyjęta."
154,W 2017 r. holenderski rząd wznowił zakulisowe kontakty dyplomatyczne z Rosją.
155,"Komisja Europejska poinformowała we wtorek, że wydłużyła czas na podjęcie przez siebie decyzji w sprawie fuzji Orlenu z Lotosem do 22 lipca."
156,"W Tychach będzie produkowany nowy model Fiata – zapowiedział podczas spotkania ze związkowcami w Mirafiori w Turynie Mike Manley, prezes Fiat Chrysler Automobiles (FCA)."
157,"Politycy PO przekonują, że uniezależnili Polskę od rosyjskiego gazu."
158,Coraz więcej Polaków odsyła towary kupowane online.
159,Firma doradcza Deloitte opublikowała raport o przychodach klubów piłkarskich za sezon 2018/19.
160,"Główny Urząd Statystyczny poinformował, że przeciętne wynagrodzenie w III kwartale wzrosło o 4,9 proc. rok do roku i wyniosło 4255,59 złotych."
161,Ukraina wprowadza embargo na część rosyjskich produktów.
162,"– Oceniamy, że stać nas na rozpoczęcie budowy energetyki jądrowych; w 2050 r. w Polsce będą ciągle działać elektrownie węglowe – mówi minister energii Krzysztof Tchórzewski o projekcie Polityki Energetycznej Polski."
163,Komisja Europejska zatwierdziła polski program wsparcia przedsiębiorstw dotkniętych skutkami epidemii koronawirusa.
164,"– PKN Orlen podpisał z konsorcjum 16 banków umowę obrotowego kredytu odnawialnego do 1,75 mld euro."
165,"Ceny gazu dla odbiorców indywidualnych są od środy, 1 lipca niższe; to efekt zatwierdzenia w połowie czerwca przez Urząd Regulacji Energetyki niższej taryfy PGNiG Obrót Detaliczny dla gospodarstw domowych."
166,Trzy ministerstwa przygotowują duży pakiet pomocowy dla firm.
167,"W 2020 r. było najwięcej niewypłacalnych firm w ciągu dekady – wynika z raportu Euler Hermes, wspartego danymi z Monitora Sądowego i Gospodarczego."
168,Pierwszą udokumentowaną transakcję bitcoinem zawarto w 2010 r.
169,"– Rząd federalny nie zmieni swojego stanowiska w sprawie Nord Stream 2 – powiedział agencji DPA szef niemieckiej dyplomacji Heiko Maas, odnosząc się do sporu w tej kwestii z USA i zbliżającym się objęciem urzędu prezydenta przez Joe Bidena."
170,"W styczniu wygasa kontrakt długoterminowy Orlenu na rosyjską ropę, którego nie przedłużymy."
171,"Prezes Orlenu  podczas spotkania z dziennikarzami przekonywał, że wysokie ceny paliwa są związane wyłącznie z sytuacją na rynku."
172,"Na Litwie zaczął obowiązywać w niedzielę zakaz tranzytu kolejowego cementu, alkoholu, a także kawioru i innych towarów luksusowych z i do Kaliningradu."
173,"Po listopadzie budżet państwa miał deficyt w wysokości 2,4 mld zł, co stanowiło 4,1 proc. w stosunku do deficytu przewidzianego w ustawie budżetowej na ten rok – podało w czwartek Ministerstwo Finansów w szacunkowych danych o wykonaniu budżetu państwa."
174,Najwyższa Izba Kontroli ujawniła raport w sprawie umów gazowych zawieranych w latach 2006-2010.
175,W Niemczech strajkują piloci i personel pokładowy linii lotniczych Ryanair.
176,Prezydent Andrzej Duda zaapelował do internautów o kupowanie polskich produktów.
177,Umowy o połączeniu polskiej drogi ekspresowej S19 ze słowacką R4 oraz budowie mostu granicznego między obu krajami podpisali minister infrastruktury Andrzej Adamczyk i minister transportu i budownictwa Słowacji Arpad Erseka.
178,"Unia Europejska doprecyzuje sankcje wobec Białorusi, by utrudnić ich obchodzenie – dowiedziała się brukselska korespondentka Polskiego Radia."
179,Wykwalifikowany pracownik fizyczny to marzenie pracodawców – wynika z danych agencji badających sytuację na rynku pracy na Pomorzu.
180,"47,4 proc."
181,"Lombardy w Polsce mogą zniknąć za sprawą obowiązującej od 3 miesięcy ustawy antylichwiarskiej – pisze „Dziennik Gazeta Prawna”, która sugeruje, że właściciele mają dwa wyjścia: zwinąć interes albo dostosować się do wymogów ustawy."
182,Polska waluta nadal słabnie względem głównych walut.
183,Spółka Lotos Kolej kupiła 216 wagonów-platform firmy Kolowag i lokomotywę elektryczną NEWAG za około 112 mln złotych.
184,"Belgijska grupa technologiczna Umicore zainwestuje 1,38 mld zł (320 mln euro) w elektrownię w Nysie, w której produkowane będą katody do akumulatorów litowo-jonowych – podało Ministerstwo ds."
185,Spółce Tesco Polska grozi przejęcie przez inną sieć handlową.
186,Generalna Dyrekcja Dróg Krajowych i Autostrad ogłosiła przetarg na projekt i budowę odcinka drogi ekspresowej S7 pomiędzy węzłami Miechów i Szczepanowice.
187,"Po ponad 1000 lat pub Ye Olde Fighting Cocks w mieście St Albans pod Londynem musi zakończyć działalność w związku z problemami finansowymi, które dodatkowo pogorszyła pandemia – podaje serwis CNN."
188,Zakład Ubezpieczeń Społecznych rusza z wyrównaniem nadpłat składek.
189,"Chociaż wiele osób spodziewało się najgorszego, Baltic Pipe skrzyżował się z Nord Stream 2 bez incydentów ze strony Rosji."
190,"Firma Amazon zmieniła główne logo aplikacji do robienia zakupów po tym, jak część klientów i komentatorów orzekła, że „przypomina ono Adolfa Hitlera” – podaje portal BBC News."
